data,SE,casos,casos_est,nivel,tempmed,tempmin,tempmax,umidmed,umidmin,umidmax,p_rt1,mes,ano,semana,casos_lag1,casos_lag2,casos_lag4,media_movel_4
2015-02-01,201505,590,590.0,4,28.1336405714286,26.8571428571429,30.5714285714286,71.2157257142857,56.7142857142857,80.4285714285714,0.9931201,2,2015,5,578.0,515.0,355.0,536.0
2015-02-08,201506,543,543.0,4,28.2739357142857,26.1428571428571,31.2857142857143,71.89533,55.7142857142857,85.2857142857143,0.37255138,2,2015,6,590.0,578.0,461.0,556.5
2015-02-15,201507,646,646.0,4,27.6729551428571,25.5714285714286,30.5714285714286,75.5935194285714,59.5714285714286,89.7142857142857,0.9838021,2,2015,7,543.0,590.0,515.0,589.25
2015-02-22,201508,892,892.0,4,27.7583918571429,25.2857142857143,30.2857142857143,74.0157322857143,55.8571428571429,87.1428571428571,1.0,2,2015,8,646.0,543.0,578.0,667.75
2015-03-01,201509,1397,1397.0,4,27.7158264285714,25.1428571428571,30.1428571428571,76.2003042857143,61.8571428571429,91.2857142857143,1.0,3,2015,9,892.0,646.0,590.0,869.5
2015-03-08,201510,1576,1576.0,4,27.2970874285714,25.2857142857143,29.4285714285714,77.5667805714286,55.2857142857143,87.8571428571429,1.0,3,2015,10,1397.0,892.0,543.0,1127.75
2015-03-15,201511,1781,1781.0,4,27.8639611428571,25.7142857142857,30.0,76.006358,61.4285714285714,86.8571428571429,1.0,3,2015,11,1576.0,1397.0,646.0,1411.5
2015-03-22,201512,1791,1791.0,4,27.376847,24.7142857142857,30.1428571428571,77.245248,62.1428571428571,90.0,0.99998945,3,2015,12,1781.0,1576.0,892.0,1636.25
2015-03-29,201513,1959,1959.0,4,27.3154221428571,24.2857142857143,30.2857142857143,73.430222,55.2857142857143,89.8571428571429,0.9999798,3,2015,13,1791.0,1781.0,1397.0,1776.75
2015-04-05,201514,1602,1602.0,4,27.9583331428571,24.8571428571429,30.7142857142857,76.7788585714286,60.7142857142857,93.2857142857143,0.0004008158,4,2015,14,1959.0,1791.0,1576.0,1783.25
2015-04-12,201515,1547,1547.0,4,28.1475997142857,25.7142857142857,30.5714285714286,73.4604842857143,58.1428571428571,86.8571428571429,1.34191e-05,4,2015,15,1602.0,1959.0,1781.0,1724.75
2015-04-19,201516,1661,1661.0,4,27.6988192857143,25.1428571428571,30.7142857142857,76.9377305714286,58.1428571428571,89.5714285714286,0.3586092,4,2015,16,1547.0,1602.0,1791.0,1692.25
2015-04-26,201517,1199,1199.0,4,28.333601,26.1428571428571,30.5714285714286,71.4003791428571,56.8571428571429,83.1428571428571,0.0,4,2015,17,1661.0,1547.0,1959.0,1502.25
2015-05-03,201518,1020,1020.0,4,27.5457398571429,24.4285714285714,30.0,76.3376122857143,61.7142857142857,92.2857142857143,0.0,5,2015,18,1199.0,1661.0,1602.0,1356.75
2015-05-10,201519,812,812.0,4,27.5323188571429,24.8571428571429,30.1428571428571,73.8689911428571,58.0,88.1428571428571,0.0,5,2015,19,1020.0,1199.0,1547.0,1173.0
2015-05-17,201520,655,655.0,4,27.0589167142857,24.0,30.0,78.4848871428571,60.2857142857143,94.1428571428571,0.0,5,2015,20,812.0,1020.0,1661.0,921.5
2015-05-24,201521,450,450.0,4,27.1346751428571,24.5714285714286,29.8571428571429,78.6584437142857,61.1428571428571,92.8571428571429,0.0,5,2015,21,655.0,812.0,1199.0,734.25
2015-05-31,201522,517,517.0,4,26.0725384285714,23.2857142857143,29.0,81.2657128571429,56.7142857142857,96.7142857142857,2.64338e-05,5,2015,22,450.0,655.0,1020.0,608.5
2015-06-07,201523,525,525.0,4,26.1350038571429,23.0,29.0,79.185388,60.5714285714286,95.7142857142857,0.3230056,6,2015,23,517.0,450.0,812.0,536.75
2015-06-14,201524,406,406.0,4,26.226296,23.4285714285714,29.1428571428571,78.07089,59.5714285714286,93.0,0.0006232774,6,2015,24,525.0,517.0,655.0,474.5
2015-06-21,201525,386,386.0,4,25.0718732857143,22.4285714285714,27.8571428571429,82.8241757142857,56.1428571428571,97.4285714285714,0.0006210792,6,2015,25,406.0,525.0,450.0,458.5
2015-06-28,201526,535,535.0,4,25.5197467142857,23.2857142857143,28.2857142857143,84.5312294285714,70.0,98.2857142857143,0.99866253,6,2015,26,386.0,406.0,517.0,463.0
2015-07-05,201527,554,554.0,4,25.6136051428571,23.2857142857143,28.7142857142857,79.4147465714286,60.5714285714286,93.7142857142857,0.9998031,7,2015,27,535.0,386.0,525.0,470.25
2015-07-12,201528,281,281.0,4,26.136104,23.8571428571429,28.5714285714286,74.4303871428571,58.0,89.4285714285714,0.0,7,2015,28,554.0,535.0,406.0,439.0
2015-07-19,201529,443,443.0,1,24.2521391428571,22.1428571428571,26.8571428571429,83.7661308571429,66.4285714285714,96.1428571428571,0.23164144,7,2015,29,281.0,554.0,386.0,453.25
2015-07-26,201530,301,301.0,1,24.4664752857143,22.4285714285714,27.0,83.0359805714286,58.7142857142857,95.7142857142857,8.6154e-05,7,2015,30,443.0,281.0,535.0,394.75
2015-08-02,201531,430,430.0,1,25.4297011428571,22.8571428571429,28.0,73.5926751428571,58.0,86.8571428571429,0.97775245,8,2015,31,301.0,443.0,554.0,363.75
2015-08-09,201532,307,307.0,1,24.9867494285714,22.0,27.5714285714286,77.3537071428571,60.8571428571429,92.4285714285714,0.011841515,8,2015,32,430.0,301.0,281.0,370.25
2015-08-16,201533,531,531.0,1,25.8640814285714,23.5714285714286,28.0,73.2056448571429,57.4285714285714,87.7142857142857,0.99999994,8,2015,33,307.0,430.0,443.0,392.25
2015-08-23,201534,604,604.0,4,25.9776785714286,23.1428571428571,28.5714285714286,72.0089285714286,57.0,86.8571428571429,1.0,8,2015,34,531.0,307.0,301.0,468.0
2015-08-30,201535,535,535.0,4,25.5781868571429,22.4285714285714,28.2857142857143,75.9104937142857,58.5714285714286,91.7142857142857,0.93844396,8,2015,35,604.0,531.0,430.0,494.25
2015-09-06,201536,471,471.0,4,26.643903,25.0,28.8571428571429,68.9098178571429,54.7142857142857,82.0,0.011957031,9,2015,36,535.0,604.0,307.0,535.25
2015-09-13,201537,252,252.0,4,26.4812788571429,24.1428571428571,28.7142857142857,70.4238194285714,54.8571428571429,85.5714285714286,0.0,9,2015,37,471.0,535.0,531.0,465.5
2015-09-20,201538,344,344.0,2,26.9508928571429,25.5714285714286,29.0,67.7678571428571,55.0,75.7142857142857,0.0007858521,9,2015,38,252.0,471.0,604.0,400.5
2015-09-27,201539,508,508.0,4,26.9160425714286,25.7142857142857,29.0,66.4792622857143,51.7142857142857,75.8571428571429,0.9999999,9,2015,39,344.0,252.0,535.0,393.75
2015-10-04,201540,560,560.0,4,26.7828734285714,24.8571428571429,29.2857142857143,68.6952114285714,54.2857142857143,81.1428571428571,1.0,10,2015,40,508.0,344.0,471.0,416.0
2015-10-11,201541,588,588.0,4,26.5648951428571,24.2857142857143,29.0,70.6637237142857,53.4285714285714,88.1428571428571,0.9998779,10,2015,41,560.0,508.0,252.0,500.0
2015-10-18,201542,655,655.0,4,26.9526917142857,25.1428571428571,29.0,69.0105564285714,56.5714285714286,78.5714285714286,0.9993532,10,2015,42,588.0,560.0,344.0,577.75
