data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
1387670400000,201352,39.0,39,39,39,0.28900295,2.3586888,0,2,261160620135219589,2023-08-20,Recife,0,0.88550955,1653461,25.8571428571429,84.8571428571429,1,0,0,75.3256057142857,63.1428571428571,27.5754604285714,29.8571428571429,23,,,,,5067
1387065600000,201351,35.0,35,35,35,0.07960013,2.116772,0,2,261160620135119589,2023-08-20,Recife,0,0.7335537,1653461,25.1428571428571,85.8571428571429,1,0,0,76.6478957142857,62.1428571428571,26.8626578571429,29.1428571428571,15,,,,,5067
1386460800000,201350,46.0,46,46,46,0.30099228,2.7820432,0,2,261160620135019589,2023-08-20,Recife,0,0.89990497,1653461,25.2857142857143,84.8571428571429,1,0,0,72.5299177142857,56.7142857142857,27.3742545714286,30.1428571428571,21,,,,,5067
1385856000000,201349,52.0,52,52,52,0.40881476,3.1449184,0,2,261160620134919589,2023-08-20,Recife,0,0.9564302,1653461,25,88.5714285714286,1,0,0,75.6071428571429,59.8571428571429,27.2286865714286,29.4285714285714,25,,,,,5067
1385251200000,201348,41.0,41,41,41,0.11876739,2.4796472,0,2,261160620134819589,2023-08-20,Recife,0,0.78323776,1653461,25.5714285714286,84.8571428571429,1,0,0,73.2728957142857,59,27.0499714285714,29.1428571428571,18,,,,,5067
1384646400000,201347,71.0,71,71,71,0.9519127,4.294023,0,2,261160620134719589,2023-08-20,Recife,0,1.349788,1653461,24.1428571428571,89.8571428571429,1,1,1,76.9311222857143,63.8571428571429,26.2588484285714,28.7142857142857,42,,,,,5067
1384041600000,201346,42.0,42,42,42,0.049141362,2.5401263,0,2,261160620134619589,2023-08-20,Recife,0,0.7183892,1653461,25.8571428571429,78.5714285714286,1,0,0,69.4883928571429,57.1428571428571,27.1586308571429,29.2857142857143,24,,,,,5067
1383436800000,201345,54.0,54,54,54,0.21938686,3.2658768,0,2,261160620134519589,2023-08-20,Recife,0,0.8665374,1653461,24.4285714285714,88.4285714285714,1,0,1,75.6526922857143,62,26.8232742857143,29.1428571428571,34,,,,,5067
1382832000000,201344,51.0,51,51,51,0.2131315,3.0844393,0,2,261160620134419589,2023-08-20,Recife,0,0.85972977,1653461,24.5714285714286,87.4285714285714,1,0,0,75.46266,60.2857142857143,26.5528591428571,28.8571428571429,33,,,,,5067
1382227200000,201343,84.0,84,84,84,0.96265525,5.0802526,0,2,261160620134319589,2023-08-20,Recife,0,1.3434538,1653461,24.8571428571429,85.5714285714286,1,1,1,75.52575,60.1428571428571,26.5266974285714,28.7142857142857,30,,,,,5067
